"sales0","sales1","sales2","sales3","sales4","country","State","CouSub","population","store","store_Type_SupermarketType3","store_Type_GroceryStore","store_Type_SupermarketType1"
848,588,666,1116,1133,9,23,19770,423,"0",0,0,1
925,717,780,1283,1550,1,50,29575,298,"0",0,0,1
924,616,739,1154,1314,13,25,8470,3609,"1",0,0,1
924,646,683,1292,1297,35,6,99999,34895,"0",1,0,0
1017,730,735,1208,1326,27,50,60100,1139,"0",0,0,1
1494,1071,1196,1861,2023,9,25,37995,5136,"0",1,0,0
691,476,541,861,923,103,26,99999,67077,"0",0,0,1
918,663,774,1189,1477,183,37,99999,900993,"1",1,0,0
931,628,775,1228,1502,89,12,99999,73314,"1",0,0,1
584,455,477,727,949,57,5,99999,22609,"0",0,1,0
695,425,538,899,1231,3,53,99999,21623,"1",0,0,1
650,443,480,951,955,109,28,99999,55834,"1",0,0,1
614,414,454,765,839,73,31,99999,2044,"0",0,0,0
1263,764,994,1801,2237,11,12,99999,1748066,"1",0,0,1
614,456,459,838,1087,115,5,99999,61754,"0",1,0,0
776,508,593,1105,1237,113,21,99999,48586,"1",0,0,1
1048,662,794,1305,1707,5,33,45460,2063,"0",0,0,1
656,390,502,833,920,99,19,99999,36842,"0",1,0,0
643,468,542,895,902,107,26,99999,42798,"0",0,0,1
690,504,560,902,1222,27,30,99999,11586,"0",0,0,1
586,443,446,730,969,81,13,99999,23439,"0",0,0,1
735,554,558,915,982,81,54,99999,78859,"0",0,0,1
833,571,660,1037,1205,19,23,27645,4594,"1",0,0,1
901,606,727,1285,1513,35,49,99999,1029655,"1",0,0,1
907,702,722,1337,1490,89,6,99999,177223,"1",1,0,0
656,390,526,853,877,73,42,99999,91108,"0",0,0,1
643,429,482,801,964,71,55,99999,81442,"1",0,0,1
620,422,510,914,1079,31,28,99999,19568,"0",0,0,1
944,686,773,1176,1407,5,44,42400,3492,"1",0,0,0
604,360,446,753,942,127,29,99999,28781,"0",0,0,1
1133,862,867,1446,1531,23,25,40850,23116,"1",0,0,1
709,573,598,883,1256,7,23,35625,4851,"0",0,0,1
972,648,729,1185,1493,25,50,81400,3178,"0",0,0,1
643,519,533,801,905,67,12,99999,8870,"0",0,0,1
631,419,532,885,922,139,17,99999,14846,"0",0,0,1
608,479,482,837,896,57,45,99999,76652,"0",0,0,1
631,467,470,872,1006,75,17,99999,29718,"0",1,0,0
702,567,592,1034,1038,45,12,99999,15863,"0",0,1,0
715,547,603,890,1144,9,50,76562,4,"0",0,0,1
1064,718,837,1458,1521,15,33,24660,6411,"1",0,0,0
640,468,473,883,886,89,46,99999,2459,"0",0,0,1
707,519,523,881,1044,47,39,99999,29030,"0",0,0,1
645,411,500,854,935,29,39,99999,107841,"1",0,0,1
742,599,603,1029,1314,61,22,99999,46735,"0",0,0,0
983,788,793,1247,1560,23,50,76975,5064,"0",0,0,1
643,419,475,826,859,139,18,99999,17392,"0",1,0,0
1093,812,922,1393,1624,111,17,99999,308760,"1",1,0,0
969,630,787,1428,1695,3,32,99999,1951269,"1",0,1,0
710,537,551,1039,1256,19,29,99999,162642,"1",0,0,1
1093,812,922,1393,1624,89,17,99999,515269,"1",0,0,1
623,393,525,781,1030,117,40,99999,16577,"1",0,0,1
620,369,466,875,1066,13,28,99999,14962,"1",1,0,0
708,496,597,882,1170,25,54,99999,35480,"1",0,0,1
666,448,562,932,1077,19,23,57045,374,"1",0,0,1
600,485,506,836,839,33,38,99999,1680,"0",0,0,0
654,441,485,963,967,77,29,99999,275174,"1",0,0,1
924,616,739,1154,1314,15,25,76380,1607,"1",0,0,1
1168,798,910,1455,1561,15,33,17940,33109,"1",0,0,1
896,579,713,1143,1236,89,55,99999,86395,"1",0,1,0
993,797,838,1306,1582,149,51,99999,35725,"1",1,0,0
1458,1167,1230,1951,2451,630,51,99999,24286,"1",0,1,0
678,403,501,844,991,21,18,99999,26890,"1",0,0,1
643,485,526,920,1139,11,26,99999,15899,"0",0,0,1
944,686,773,1176,1407,7,44,54640,71148,"1",0,0,1
640,468,473,890,902,41,46,99999,5301,"0",0,0,1
1132,786,860,1527,1533,31,23,70030,7220,"1",0,0,1
631,467,470,868,1118,45,17,99999,18576,"0",0,0,1
692,412,538,1020,1080,15,55,99999,48971,"1",0,1,0
681,550,574,906,921,69,22,99999,39566,"0",0,0,1
607,409,449,894,978,167,31,99999,6129,"0",0,0,1
848,588,666,1116,1133,9,23,80040,353,"0",0,0,1
695,508,515,1024,1028,55,46,99999,1937,"0",0,0,1
1052,684,817,1303,1362,30,78,99999,51181,"0",0,0,1
643,455,475,801,933,505,48,99999,14018,"1",0,0,1
640,468,536,893,897,109,46,99999,10149,"0",0,0,1
844,673,712,1051,1128,5,25,22130,15873,"1",0,1,0
772,499,591,973,1033,1,23,40770,3187,"1",0,0,1
662,448,489,865,1032,27,39,99999,42040,"1",0,0,1
1213,943,965,1523,1693,9,33,8660,3333,"0",0,0,1
917,627,724,1245,1289,31,23,14485,1403,"1",0,0,1
425,335,354,599,718,23,72,99999,50917,"1",0,0,1
713,576,586,927,964,5,26,99999,111408,"0",0,1,0
643,455,475,801,933,413,48,99999,3461,"0",0,1,0
998,718,819,1352,1375,19,33,260,891,"0",0,0,1
805,519,595,1184,1235,15,41,99999,22364,"0",0,1,0
734,437,576,1012,1300,147,27,99999,36576,"0",0,0,1
1213,943,965,1523,1693,9,33,7700,3054,"0",0,0,1
1232,833,985,1574,1713,27,24,99999,287085,"1",0,0,1
896,703,707,1216,1251,71,12,99999,618754,"1",0,0,1
1458,1167,1230,1951,2451,1,11,99999,601723,"1",0,0,1
643,519,542,948,951,7,12,99999,28520,"1",0,0,1
607,409,512,894,1075,107,31,99999,8701,"0",0,0,0
924,724,767,1154,1322,11,33,31540,1749,"1",1,0,0
643,469,542,948,1104,23,30,99999,9298,"1",0,0,1
944,686,773,1176,1407,3,44,22240,13146,"0",0,0,0
816,531,688,1058,1445,27,25,73090,5135,"0",0,0,1
1061,779,784,1326,1879,45,8,99999,56389,"0",0,0,1
600,477,480,827,830,85,38,99999,4153,"0",0,0,0
661,450,558,867,1118,1,28,99999,32297,"0",0,0,1
1030,790,802,1305,1548,5,9,37280,5642,"0",0,0,1
558,410,412,695,746,99,21,99999,18199,"0",0,0,1
643,519,542,801,1017,720,51,99999,3958,"0",0,0,1
916,708,773,1213,1474,63,13,99999,259424,"1",0,0,1
607,409,449,756,830,57,31,99999,2008,"0",0,0,1
844,673,712,1051,1128,5,25,45000,95072,"1",0,0,0
635,378,474,791,1125,175,29,99999,25414,"0",1,0,0
634,412,471,790,922,199,20,99999,1485,"1",0,0,1
576,423,426,717,807,169,21,99999,10099,"1",0,0,1
794,503,594,1072,1406,103,46,99999,100948,"1",0,0,1
593,402,498,874,1050,147,19,99999,9421,"1",0,0,1
628,491,496,782,1112,109,54,99999,23796,"0",0,0,1
604,391,509,780,807,9,29,99999,35597,"0",0,0,1
643,419,542,948,1069,125,18,99999,12845,"0",0,1,0
1458,1167,1230,1951,2451,61,51,99999,65203,"1",0,1,0
584,440,443,774,780,19,5,99999,22995,"0",0,0,1
620,422,488,772,841,91,28,99999,27088,"0",0,0,1
712,516,526,967,971,13,56,99999,40123,"0",0,1,0
1458,1167,1230,1951,2451,153,51,99999,402002,"1",0,0,1
643,519,542,948,987,9,8,99999,3788,"0",0,0,1
922,743,748,1182,1232,13,23,15125,1,"0",0,1,0
1144,732,918,1425,1655,3,9,4300,19866,"1",0,0,1
593,435,438,863,866,137,19,99999,10740,"0",0,0,0
904,647,713,1126,1373,21,50,47425,255,"0",0,1,0
623,439,460,872,1103,137,40,99999,45048,"0",0,0,1
632,511,533,931,1119,43,37,99999,10587,"1",0,0,0
530,420,443,683,725,11,72,99999,29261,"1",0,1,0
794,559,670,1081,1150,27,23,46790,1032,"0",0,0,0
894,532,747,1113,1583,17,50,79975,652,"0",0,0,1
655,506,509,816,992,265,13,99999,1717,"0",0,0,0
925,717,780,1283,1550,1,50,76075,486,"0",0,0,1
746,545,551,929,1183,39,30,99999,3079,"1",0,0,1
857,510,723,1100,1426,115,37,99999,20764,"1",0,0,1
654,427,552,964,1158,161,18,99999,7516,"1",0,1,0
701,515,518,873,982,191,13,99999,14333,"1",0,0,1
660,511,514,973,1169,65,16,99999,37536,"1",0,0,1
638,380,519,843,1035,11,54,99999,96319,"1",0,0,1
628,507,530,797,886,47,54,99999,22113,"0",0,1,0
952,614,728,1322,1451,89,42,99999,169842,"0",0,1,0
783,494,601,1062,1183,145,40,99999,73085,"1",0,0,1
816,531,688,1058,1445,27,25,31435,4382,"1",0,0,1
632,499,502,787,923,61,37,99999,58505,"0",0,0,1
922,743,748,1182,1232,13,23,65130,2591,"0",0,0,1
685,421,507,960,977,107,18,99999,38124,"0",0,1,0
1494,1071,1196,1861,2023,9,25,43580,3410,"1",0,0,1
993,797,838,1306,1582,87,51,99999,306935,"0",0,0,1
676,508,544,861,1041,57,20,99999,33848,"0",0,0,1
600,485,494,836,839,83,38,99999,1321,"0",0,0,1
766,518,599,961,1024,11,23,24670,2956,"0",0,0,0
687,490,538,884,1002,3,18,99999,355329,"1",0,0,1
681,520,572,868,1053,29,23,57082,718,"0",0,1,0
600,485,506,884,887,69,38,99999,4357,"0",0,0,1
658,461,511,861,974,73,47,99999,56833,"1",0,0,1
733,461,542,1041,1067,75,27,99999,10866,"0",0,0,1
1943,1291,1564,2420,3010,1,9,33620,61171,"1",0,0,1
932,559,703,1333,1588,5,23,66775,1719,"1",0,0,1
420,314,350,519,570,19,72,99999,30318,"1",0,0,1
586,473,494,811,814,175,13,99999,48434,"0",0,0,1
709,573,598,946,1134,7,33,25140,291,"0",0,0,1
1048,662,794,1305,1707,5,33,73700,1232,"0",0,0,1
877,600,651,1175,1553,109,27,99999,144248,"1",0,0,0
664,470,516,978,982,87,48,99999,3057,"0",0,0,1
659,484,499,837,1012,61,21,99999,12161,"1",0,0,1
1076,700,795,1340,1438,27,25,41165,27999,"1",0,0,1
1036,674,823,1290,1411,27,25,82000,181045,"1",0,0,1
747,480,620,1101,1323,23,12,99999,67531,"0",0,0,1
593,402,454,803,806,25,19,99999,9670,"0",0,0,1
1144,732,918,1425,1655,7,9,61800,9508,"1",0,0,1
748,476,579,1102,1325,25,6,99999,174528,"1",1,0,0
586,430,433,804,1038,119,13,99999,22084,"0",0,0,1
713,523,527,888,1233,137,28,99999,28886,"1",0,1,0
643,408,542,948,951,91,55,99999,7469,"0",0,0,1
827,492,624,1069,1141,133,42,99999,434972,"1",0,0,1
1284,812,1049,1866,2220,113,8,99999,7359,"1",0,1,0
681,520,572,868,1053,29,23,380,1266,"0",0,0,1
643,419,542,898,1052,1,53,99999,18728,"0",1,0,0
643,455,542,948,951,287,48,99999,16612,"0",1,0,0
707,519,523,971,1252,273,48,99999,32061,"0",0,0,1
607,361,473,841,1075,159,31,99999,16750,"1",0,0,1
632,376,480,873,1103,167,37,99999,60585,"0",0,0,1
1269,1025,1063,1637,1871,13,34,99999,783969,"1",1,0,0
627,460,463,781,838,107,22,99999,5252,"0",0,0,1
1295,770,957,1682,1731,7,25,26325,75,"0",1,0,0
675,496,499,890,968,11,55,99999,13587,"0",0,0,1
679,548,564,860,942,3,23,43990,249,"1",0,0,0
852,625,630,1141,1207,221,48,99999,51182,"0",0,1,0
712,424,570,1009,1155,77,48,99999,10752,"1",0,0,1
673,400,497,859,966,23,18,99999,33224,"0",0,0,1
867,585,712,1093,1168,73,36,99999,42883,"1",0,0,1
678,403,531,904,987,113,47,99999,98294,"1",0,0,1
944,686,773,1176,1407,9,44,14500,7827,"1",0,0,1
972,648,729,1185,1493,25,50,73300,1232,"0",0,0,1
836,675,705,1059,1291,3,25,14010,1702,"1",0,0,1
656,428,553,928,931,45,18,99999,17240,"1",0,0,1
643,455,542,948,1139,399,48,99999,10501,"0",0,0,1
824,655,659,1181,1391,187,37,99999,13228,"0",0,0,1
623,439,460,776,833,33,40,99999,6193,"0",0,0,1
1038,662,875,1321,1498,540,51,99999,43475,"1",0,1,0
935,557,719,1140,1270,3,50,69775,824,"0",0,0,1
708,539,583,1043,1094,49,36,99999,27087,"1",0,0,1
607,409,449,756,830,49,31,99999,1941,"0",0,1,0
719,467,531,963,1010,363,48,99999,28111,"0",0,1,0
1718,1100,1395,2234,2572,59,36,99999,1339532,"1",0,0,1
701,417,535,938,1067,13,48,99999,44911,"1",0,0,1
679,548,564,860,942,3,23,83540,62,"0",0,0,1
1494,1071,1196,1861,2023,17,25,5070,24729,"1",0,1,0
644,519,522,802,861,107,12,99999,74364,"0",0,0,1
655,422,484,826,875,33,55,99999,43857,"0",1,0,0
1019,707,786,1418,1424,3,33,32500,120,"0",0,0,1
922,743,748,1182,1232,13,23,15780,1534,"0",0,0,1
635,378,489,900,962,15,39,99999,44846,"1",0,0,1
634,493,497,873,930,121,39,99999,14645,"0",0,0,0
925,717,780,1283,1550,1,50,53725,1250,"1",0,0,1
935,557,719,1140,1270,3,50,17725,2031,"0",0,0,1
681,520,572,868,1053,29,23,58165,889,"0",0,0,0
1064,718,837,1458,1521,15,33,62900,20779,"1",1,0,0
833,571,660,1037,1205,19,23,30795,7257,"1",0,0,1
1012,676,806,1491,1792,17,6,99999,181058,"1",1,0,0
1481,1196,1249,1904,2134,81,36,99999,2230722,"1",0,0,1
998,718,819,1352,1375,19,33,31220,2985,"0",0,0,1
643,424,494,937,957,53,16,99999,22374,"0",0,0,1
1030,790,802,1305,1548,5,9,60750,12243,"1",0,0,0
1481,1196,1249,1904,2134,61,36,99999,1585873,"1",1,0,0
606,460,511,755,946,33,49,99999,2264,"0",0,0,1
681,520,572,868,1053,29,23,16865,57,"0",0,0,1
763,472,585,988,1162,39,18,99999,197559,"1",0,0,1
870,545,684,1240,1510,510,32,99999,55274,"1",0,1,0
632,511,533,838,1119,41,37,99999,14793,"0",0,0,1
953,567,711,1187,1329,15,9,9190,8210,"0",0,0,1
593,402,500,833,836,177,19,99999,7570,"0",0,0,1
927,678,732,1199,1461,11,25,45490,990,"1",0,0,1
854,508,669,1213,1217,15,12,99999,159978,"1",0,0,1
604,399,446,769,933,199,29,99999,4843,"0",0,1,0
927,678,732,1199,1461,11,25,35180,1851,"1",0,0,1
1494,1071,1196,1861,2023,9,25,74595,4875,"1",0,0,1
